"id","province/state","country/region","reportdate","nofcases"
"1","","Afghanistan","2020/02/01","0"
"2","","Afghanistan","2020/02/02","0"
"3","","Afghanistan","2020/02/03","0"
"4","","Afghanistan","2020/02/04","0"
"5","","Afghanistan","2020/02/05","0"
"6","","Afghanistan","2020/02/06","0"
"7","","Afghanistan","2020/02/07","0"
"8","","Afghanistan","2020/02/08","0"
"9","","Afghanistan","2020/02/09","0"
"10","","Afghanistan","2020/03/01","1"
"11","","Afghanistan","2020/03/02","1"
"12","","Afghanistan","2020/03/03","1"
"13","","Afghanistan","2020/03/04","1"
"14","","Afghanistan","2020/03/05","1"
"15","","Afghanistan","2020/03/06","1"
"16","","Afghanistan","2020/03/07","1"
"17","","Afghanistan","2020/03/08","4"
"18","","Afghanistan","2020/03/09","4"
"19","","Afghanistan","2020/04/01","237"
"20","","Afghanistan","2020/04/02","273"
"21","","Afghanistan","2020/04/03","281"
"22","","Afghanistan","2020/04/04","299"
"23","","Afghanistan","2020/04/05","349"
"24","","Afghanistan","2020/04/06","367"
"25","","Afghanistan","2020/04/07","423"
"26","","Afghanistan","2020/04/08","444"
"27","","Afghanistan","2020/04/09","484"
"28","","Afghanistan","2020/01/22","0"
"29","","Afghanistan","2020/01/23","0"
"30","","Afghanistan","2020/01/24","0"
"31","","Afghanistan","2020/01/25","0"
"32","","Afghanistan","2020/01/26","0"
"33","","Afghanistan","2020/01/27","0"
"34","","Afghanistan","2020/01/28","0"
"35","","Afghanistan","2020/01/29","0"
"36","","Afghanistan","2020/01/30","0"
"37","","Afghanistan","2020/01/31","0"
"38","","Afghanistan","2020/02/10","0"
"39","","Afghanistan","2020/02/11","0"
"40","","Afghanistan","2020/02/12","0"
"41","","Afghanistan","2020/02/13","0"
"42","","Afghanistan","2020/02/14","0"
"43","","Afghanistan","2020/02/15","0"
"44","","Afghanistan","2020/02/16","0"
"45","","Afghanistan","2020/02/17","0"
"46","","Afghanistan","2020/02/18","0"
"47","","Afghanistan","2020/02/19","0"
"48","","Afghanistan","2020/02/20","0"
"49","","Afghanistan","2020/02/21","0"
"50","","Afghanistan","2020/02/22","0"
"51","","Afghanistan","2020/02/23","0"
"52","","Afghanistan","2020/02/24","1"
"53","","Afghanistan","2020/02/25","1"
"54","","Afghanistan","2020/02/26","1"
"55","","Afghanistan","2020/02/27","1"
"56","","Afghanistan","2020/02/28","1"
"57","","Afghanistan","2020/02/29","1"
"58","","Afghanistan","2020/03/10","5"
"59","","Afghanistan","2020/03/11","7"
"60","","Afghanistan","2020/03/12","7"
"61","","Afghanistan","2020/03/13","7"
"62","","Afghanistan","2020/03/14","11"
"63","","Afghanistan","2020/03/15","16"
"64","","Afghanistan","2020/03/16","21"
"65","","Afghanistan","2020/03/17","22"
"66","","Afghanistan","2020/03/18","22"
"67","","Afghanistan","2020/03/19","22"
"68","","Afghanistan","2020/03/20","24"
"69","","Afghanistan","2020/03/21","24"
"70","","Afghanistan","2020/03/22","40"
"71","","Afghanistan","2020/03/23","40"
"72","","Afghanistan","2020/03/24","74"
"73","","Afghanistan","2020/03/25","84"
"74","","Afghanistan","2020/03/26","94"
"75","","Afghanistan","2020/03/27","110"
"76","","Afghanistan","2020/03/28","110"
"77","","Afghanistan","2020/03/29","120"
"78","","Afghanistan","2020/03/30","170"
"79","","Afghanistan","2020/03/31","174"
"80","","Afghanistan","2020/04/10","521"
"81","","Afghanistan","2020/04/11","555"
"82","","Afghanistan","2020/04/12","607"
"83","","Afghanistan","2020/04/13","665"
"84","","Afghanistan","2020/04/14","714"
"85","","Afghanistan","2020/04/15","784"
"86","","Albania","2020/02/01","0"
"87","","Albania","2020/02/02","0"
"88","","Albania","2020/02/03","0"
"89","","Albania","2020/02/04","0"
"90","","Albania","2020/02/05","0"
"91","","Albania","2020/02/06","0"
"92","","Albania","2020/02/07","0"
"93","","Albania","2020/02/08","0"
"94","","Albania","2020/02/09","0"
"95","","Albania","2020/03/01","0"
"96","","Albania","2020/03/02","0"
"97","","Albania","2020/03/03","0"
"98","","Albania","2020/03/04","0"
"99","","Albania","2020/03/05","0"
"100","","Albania","2020/03/06","0"
"101","","Albania","2020/03/07","0"
"102","","Albania","2020/03/08","0"
"103","","Albania","2020/03/09","2"
"104","","Albania","2020/04/01","259"
"105","","Albania","2020/04/02","277"
"106","","Albania","2020/04/03","304"
"107","","Albania","2020/04/04","333"
"108","","Albania","2020/04/05","361"
"109","","Albania","2020/04/06","377"
"110","","Albania","2020/04/07","383"
"111","","Albania","2020/04/08","400"
"112","","Albania","2020/04/09","409"
"113","","Albania","2020/01/22","0"
"114","","Albania","2020/01/23","0"
"115","","Albania","2020/01/24","0"
"116","","Albania","2020/01/25","0"
"117","","Albania","2020/01/26","0"
"118","","Albania","2020/01/27","0"
"119","","Albania","2020/01/28","0"
"120","","Albania","2020/01/29","0"
"121","","Albania","2020/01/30","0"
"122","","Albania","2020/01/31","0"
"123","","Albania","2020/02/10","0"
"124","","Albania","2020/02/11","0"
"125","","Albania","2020/02/12","0"
"126","","Albania","2020/02/13","0"
"127","","Albania","2020/02/14","0"
"128","","Albania","2020/02/15","0"
"129","","Albania","2020/02/16","0"
"130","","Albania","2020/02/17","0"
"131","","Albania","2020/02/18","0"
"132","","Albania","2020/02/19","0"
"133","","Albania","2020/02/20","0"
"134","","Albania","2020/02/21","0"
"135","","Albania","2020/02/22","0"
"136","","Albania","2020/02/23","0"
"137","","Albania","2020/02/24","0"
"138","","Albania","2020/02/25","0"
"139","","Albania","2020/02/26","0"
"140","","Albania","2020/02/27","0"
"141","","Albania","2020/02/28","0"
"142","","Albania","2020/02/29","0"
"143","","Albania","2020/03/10","10"
"144","","Albania","2020/03/11","12"
"145","","Albania","2020/03/12","23"
"146","","Albania","2020/03/13","33"
"147","","Albania","2020/03/14","38"
"148","","Albania","2020/03/15","42"
"149","","Albania","2020/03/16","51"
"150","","Albania","2020/03/17","55"
"151","","Albania","2020/03/18","59"
"152","","Albania","2020/03/19","64"
"153","","Albania","2020/03/20","70"
"154","","Albania","2020/03/21","76"
"155","","Albania","2020/03/22","89"
"156","","Albania","2020/03/23","104"
"157","","Albania","2020/03/24","123"
"158","","Albania","2020/03/25","146"
"159","","Albania","2020/03/26","174"
"160","","Albania","2020/03/27","186"
"161","","Albania","2020/03/28","197"
"162","","Albania","2020/03/29","212"
"163","","Albania","2020/03/30","223"
"164","","Albania","2020/03/31","243"
"165","","Albania","2020/04/10","416"
"166","","Albania","2020/04/11","433"
"167","","Albania","2020/04/12","446"
"168","","Albania","2020/04/13","467"
"169","","Albania","2020/04/14","475"
"170","","Albania","2020/04/15","494"
"171","","Algeria","2020/02/01","0"
"172","","Algeria","2020/02/02","0"
"173","","Algeria","2020/02/03","0"
"174","","Algeria","2020/02/04","0"
"175","","Algeria","2020/02/05","0"
"176","","Algeria","2020/02/06","0"
"177","","Algeria","2020/02/07","0"
"178","","Algeria","2020/02/08","0"
"179","","Algeria","2020/02/09","0"
"180","","Algeria","2020/03/01","1"
"181","","Algeria","2020/03/02","3"
"182","","Algeria","2020/03/03","5"
"183","","Algeria","2020/03/04","12"
"184","","Algeria","2020/03/05","12"
"185","","Algeria","2020/03/06","17"
"186","","Algeria","2020/03/07","17"
"187","","Algeria","2020/03/08","19"
"188","","Algeria","2020/03/09","20"
"189","","Algeria","2020/04/01","847"
"190","","Algeria","2020/04/02","986"
"191","","Algeria","2020/04/03","1171"
"192","","Algeria","2020/04/04","1251"
"193","","Algeria","2020/04/05","1320"
"194","","Algeria","2020/04/06","1423"
"195","","Algeria","2020/04/07","1468"
"196","","Algeria","2020/04/08","1572"
"197","","Algeria","2020/04/09","1666"
"198","","Algeria","2020/01/22","0"
"199","","Algeria","2020/01/23","0"
"200","","Algeria","2020/01/24","0"
"201","","Algeria","2020/01/25","0"
"202","","Algeria","2020/01/26","0"
"203","","Algeria","2020/01/27","0"
"204","","Algeria","2020/01/28","0"
"205","","Algeria","2020/01/29","0"
"206","","Algeria","2020/01/30","0"
"207","","Algeria","2020/01/31","0"
"208","","Algeria","2020/02/10","0"
"209","","Algeria","2020/02/11","0"
"210","","Algeria","2020/02/12","0"
"211","","Algeria","2020/02/13","0"
"212","","Algeria","2020/02/14","0"
"213","","Algeria","2020/02/15","0"
"214","","Algeria","2020/02/16","0"
"215","","Algeria","2020/02/17","0"
"216","","Algeria","2020/02/18","0"
"217","","Algeria","2020/02/19","0"
"218","","Algeria","2020/02/20","0"
"219","","Algeria","2020/02/21","0"
"220","","Algeria","2020/02/22","0"
"221","","Algeria","2020/02/23","0"
"222","","Algeria","2020/02/24","0"
"223","","Algeria","2020/02/25","1"
"224","","Algeria","2020/02/26","1"
"225","","Algeria","2020/02/27","1"
"226","","Algeria","2020/02/28","1"
"227","","Algeria","2020/02/29","1"
"228","","Algeria","2020/03/10","20"
"229","","Algeria","2020/03/11","20"
"230","","Algeria","2020/03/12","24"
"231","","Algeria","2020/03/13","26"
"232","","Algeria","2020/03/14","37"
"233","","Algeria","2020/03/15","48"
"234","","Algeria","2020/03/16","54"
"235","","Algeria","2020/03/17","60"
"236","","Algeria","2020/03/18","74"
"237","","Algeria","2020/03/19","87"
"238","","Algeria","2020/03/20","90"
"239","","Algeria","2020/03/21","139"
"240","","Algeria","2020/03/22","201"
"241","","Algeria","2020/03/23","230"
"242","","Algeria","2020/03/24","264"
"243","","Algeria","2020/03/25","302"
"244","","Algeria","2020/03/26","367"
"245","","Algeria","2020/03/27","409"
"246","","Algeria","2020/03/28","454"
"247","","Algeria","2020/03/29","511"
"248","","Algeria","2020/03/30","584"
"249","","Algeria","2020/03/31","716"
